Timestamp,Puissance Active (W)
"25/08/2025 11:28:02",17.73
"25/08/2025 11:28:04",17.72
"25/08/2025 11:28:06",17.73
"25/08/2025 11:28:08",17.89
"25/08/2025 11:28:10",17.85
"25/08/2025 11:28:12",17.82
"25/08/2025 11:28:13",17.69
"25/08/2025 11:28:15",17.73
"25/08/2025 11:28:17",17.70
"25/08/2025 11:28:18",17.79
"25/08/2025 11:28:20",17.76
"25/08/2025 11:28:22",17.77
"25/08/2025 11:28:24",17.80
"25/08/2025 11:28:26",17.40
"25/08/2025 11:28:28",17.35
"25/08/2025 11:28:29",17.32
"25/08/2025 11:28:31",17.37
"25/08/2025 11:28:33",17.33
"25/08/2025 11:28:35",17.48
"25/08/2025 11:28:37",17.43
"25/08/2025 11:28:38",17.48
"25/08/2025 11:28:40",17.44
"25/08/2025 11:28:42",17.34
"25/08/2025 11:28:44",17.34
"25/08/2025 11:28:46",17.36
"25/08/2025 11:28:47",17.41
"25/08/2025 11:28:49",17.46
"25/08/2025 11:28:51",17.39
"25/08/2025 11:28:53",17.41
"25/08/2025 11:28:54",17.36
"25/08/2025 11:28:56",17.32
"25/08/2025 11:28:58",17.34
"25/08/2025 11:29:00",17.39
"25/08/2025 11:29:01",17.44
"25/08/2025 11:29:03",17.44
"25/08/2025 11:29:05",17.43
"25/08/2025 11:29:07",17.29
"25/08/2025 11:29:09",17.36
"25/08/2025 11:29:10",17.28
"25/08/2025 11:29:12",17.35
"25/08/2025 11:29:14",17.38
"25/08/2025 11:29:16",17.75
"25/08/2025 11:29:18",17.74
"25/08/2025 11:29:19",17.77
"25/08/2025 11:29:21",17.66
"25/08/2025 11:29:23",17.65
"25/08/2025 11:29:25",17.69
"25/08/2025 11:29:27",17.72
"25/08/2025 11:29:28",17.81
"25/08/2025 11:29:30",17.85
"25/08/2025 11:29:32",17.85
"25/08/2025 11:29:34",17.74
"25/08/2025 11:29:35",17.70
"25/08/2025 11:29:37",17.73
"25/08/2025 11:29:39",17.76
"25/08/2025 11:29:41",17.80
"25/08/2025 11:29:43",17.79
"25/08/2025 11:29:45",17.88
"25/08/2025 11:29:46",17.87
"25/08/2025 11:29:48",17.39
"25/08/2025 11:29:50",17.41
"25/08/2025 11:29:51",17.42
"25/08/2025 11:29:53",17.40
"25/08/2025 11:29:55",17.50
"25/08/2025 11:29:57",17.49
"25/08/2025 11:29:59",17.48
"25/08/2025 11:30:01",17.28
"25/08/2025 11:30:03",17.35
"25/08/2025 11:30:04",17.37
"25/08/2025 11:30:06",17.41
"25/08/2025 11:30:08",17.34
"25/08/2025 11:30:10",17.44
"25/08/2025 11:30:11",17.38
"25/08/2025 11:30:13",17.43
"25/08/2025 11:30:15",17.40
"25/08/2025 11:30:17",17.34
"25/08/2025 11:30:18",17.36
"25/08/2025 11:30:20",17.33
"25/08/2025 11:30:22",17.40
"25/08/2025 11:30:24",17.40
"25/08/2025 11:30:25",17.37
"25/08/2025 11:30:27",17.30
"25/08/2025 11:30:30",17.23
"25/08/2025 11:30:32",17.10
"25/08/2025 11:30:34",17.11
"25/08/2025 11:30:36",17.24
"25/08/2025 11:30:39",17.56
"25/08/2025 11:30:41",17.56
"25/08/2025 11:30:42",17.48
"25/08/2025 11:30:44",17.49
"25/08/2025 11:30:46",17.51
"25/08/2025 11:30:48",17.43
"25/08/2025 11:30:50",17.50
"25/08/2025 11:30:52",17.71
"25/08/2025 11:30:54",17.71
"25/08/2025 11:30:57",17.51
"25/08/2025 11:30:59",17.40
"25/08/2025 11:31:01",17.44
"25/08/2025 11:31:03",17.38
"25/08/2025 11:31:05",17.52
"25/08/2025 11:31:07",17.45
"25/08/2025 11:31:08",17.48
"25/08/2025 11:31:10",17.05
"25/08/2025 11:31:12",17.06
"25/08/2025 11:31:13",17.08
"25/08/2025 11:31:14",17.05
"25/08/2025 11:31:15",17.00
"25/08/2025 11:31:17",17.01
"25/08/2025 11:31:18",17.10
"25/08/2025 11:31:19",17.09
"25/08/2025 11:31:21",17.10
"25/08/2025 11:31:22",17.02
"25/08/2025 11:31:24",16.99
"25/08/2025 11:31:26",16.97
"25/08/2025 11:31:27",17.01
"25/08/2025 11:31:28",16.95
"25/08/2025 11:31:30",16.91
"25/08/2025 11:31:31",16.93
"25/08/2025 11:31:33",16.92
"25/08/2025 11:31:35",17.05
"25/08/2025 11:31:36",17.04
"25/08/2025 11:31:38",17.06
"25/08/2025 11:31:39",16.95
"25/08/2025 11:31:40",16.94
"25/08/2025 11:31:42",17.02
"25/08/2025 11:31:43",16.95
"25/08/2025 11:31:44",16.96
"25/08/2025 11:31:45",17.04
"25/08/2025 11:31:47",17.09
"25/08/2025 11:31:48",17.06
"25/08/2025 11:31:49",17.08
"25/08/2025 11:31:50",17.09
"25/08/2025 11:31:52",17.10
"25/08/2025 11:31:53",17.04
"25/08/2025 11:31:54",16.83
"25/08/2025 11:31:56",16.94
"25/08/2025 11:31:57",16.92
