Timestamp,Puissance Active (W)
"25/08/2025 13:36:37",40.84
"25/08/2025 13:36:39",40.37
"25/08/2025 13:36:40",41.35
"25/08/2025 13:36:42",40.46
"25/08/2025 13:36:44",40.80
"25/08/2025 13:36:46",40.56
"25/08/2025 13:36:49",41.06
"25/08/2025 13:36:50",40.57
"25/08/2025 13:36:53",41.00
"25/08/2025 13:36:54",40.47
"25/08/2025 13:36:57",40.63
"25/08/2025 13:36:58",40.96
"25/08/2025 13:37:00",41.51
"25/08/2025 13:37:02",41.26
"25/08/2025 13:37:04",41.21
"25/08/2025 13:37:06",41.19
"25/08/2025 13:37:08",41.29
"25/08/2025 13:37:10",41.55
"25/08/2025 13:37:12",40.95
"25/08/2025 13:37:14",41.30
"25/08/2025 13:37:16",41.21
"25/08/2025 13:37:18",40.83
"25/08/2025 13:37:20",40.80
"25/08/2025 13:37:21",40.87
"25/08/2025 13:37:23",40.74
"25/08/2025 13:37:25",40.89
"25/08/2025 13:37:27",40.67
"25/08/2025 13:37:29",41.40
"25/08/2025 13:37:31",40.65
"25/08/2025 13:37:33",40.46
"25/08/2025 13:37:35",40.37
"25/08/2025 13:37:37",40.46
"25/08/2025 13:37:39",40.59
"25/08/2025 13:37:41",40.33
"25/08/2025 13:37:43",40.54
"25/08/2025 13:37:45",40.47
"25/08/2025 13:37:47",40.35
"25/08/2025 13:37:48",40.18
"25/08/2025 13:37:50",40.45
"25/08/2025 13:37:53",40.38
"25/08/2025 13:37:55",40.45
"25/08/2025 13:37:57",40.90
"25/08/2025 13:37:59",40.62
"25/08/2025 13:38:01",40.26
"25/08/2025 13:38:03",40.35
"25/08/2025 13:38:05",40.53
"25/08/2025 13:38:07",40.62
"25/08/2025 13:38:09",40.19
"25/08/2025 13:38:11",40.25
"25/08/2025 13:38:13",40.18
"25/08/2025 13:38:15",40.24
"25/08/2025 13:38:16",40.47
"25/08/2025 13:38:18",40.35
"25/08/2025 13:38:20",40.18
"25/08/2025 13:38:21",40.13
"25/08/2025 13:38:23",40.26
"25/08/2025 13:38:25",40.46
"25/08/2025 13:38:27",40.54
"25/08/2025 13:38:28",40.39
"25/08/2025 13:38:30",40.31
"25/08/2025 13:38:32",40.25
"25/08/2025 13:38:33",40.19
"25/08/2025 13:38:35",40.37
"25/08/2025 13:38:36",40.19
"25/08/2025 13:38:38",40.24
"25/08/2025 13:38:40",40.65
"25/08/2025 13:38:42",40.45
"25/08/2025 13:38:43",40.16
"25/08/2025 13:38:45",40.31
"25/08/2025 13:38:46",40.29
"25/08/2025 13:38:48",40.16
"25/08/2025 13:38:49",40.31
"25/08/2025 13:38:51",40.36
"25/08/2025 13:38:52",40.19
"25/08/2025 13:38:54",40.50
"25/08/2025 13:38:56",40.59
"25/08/2025 13:38:57",40.39
"25/08/2025 13:38:58",40.52
"25/08/2025 13:38:59",40.53
"25/08/2025 13:39:00",40.43
"25/08/2025 13:39:02",40.49
"25/08/2025 13:39:03",40.62
"25/08/2025 13:39:04",40.53
"25/08/2025 13:39:06",40.52
"25/08/2025 13:39:07",40.47
"25/08/2025 13:39:08",40.51
"25/08/2025 13:39:09",40.37
"25/08/2025 13:39:11",40.32
